,id,username,tweet_text,retweets,location,created_at
0,1326158760826560515,realDonaldTrump,WE WILL WIN!,35137,"Washington, DC",2020-11-10 13:44:22
0,1326194143132082178,realDonaldTrump,"Republicans, don’t let Andrew McCabe continue to get away with totally criminal activity. What he did should never be allowed to happen to our Country again. FIGHT FOR JUSTICE!",10827,"Washington, DC",2020-11-10 16:04:57
0,1326205245953871872,realDonaldTrump,Happy 245th Birthday to the @USMC! #HappyBirthdayMarines https://t.co/ruAkzKhhrJ https://t.co/0DjMwME0km,8769,"Washington, DC",2020-11-10 16:49:04
0,1326211507982659590,realDonaldTrump,Pennsylvania Party Leadership votes are this week. I hope they pick very tough and smart fighters. We will WIN!!,20577,"Washington, DC",2020-11-10 17:13:57
0,1326315701620142087,realDonaldTrump,https://t.co/gGC3uuldxh,11754,"Washington, DC",2020-11-11 00:07:59
1,1326315284169445376,realDonaldTrump,https://t.co/5kZAdMeoJ3,10312,"Washington, DC",2020-11-11 00:06:20
2,1326314883420446722,realDonaldTrump,https://t.co/Ncauwdm8Sb,11402,"Washington, DC",2020-11-11 00:04:44
3,1326304091035881472,realDonaldTrump,Ballot Corruption will be exposed tonight at 9:00pmE on @SeanHannity on @FoxNews!,47285,"Washington, DC",2020-11-10 23:21:51
0,1326327582074220544,realDonaldTrump,"“I don’t care what state you’re in, this computer voting system is wide open to fraud and intervention.” @LouDobbs  True, and wait until you see what’s coming!",19271,"Washington, DC",2020-11-11 00:55:12
0,1326346314842562561,realDonaldTrump,He should pay a big price for his subversion! https://t.co/1nFjPBpvfV,2090,"Washington, DC",2020-11-11 02:09:38
0,1326369401277468672,realDonaldTrump,https://t.co/JxzM7kThko,19595,"Washington, DC",2020-11-11 03:41:22
1,1326353226749386757,realDonaldTrump,People will not accept this Rigged Election! https://t.co/XQAOIt5ZwU,31273,"Washington, DC",2020-11-11 02:37:06
2,1326350628864614401,realDonaldTrump,Obama spied on our campaign - and got caught! https://t.co/HyQW0v2SD4,25236,"Washington, DC",2020-11-11 02:26:46
3,1326348976531136513,realDonaldTrump,I Was In Philadelphia Watching Fraud Happen. Here’s How It Went Down https://t.co/fRMw3ilbYG They shut out our Poll Watchers and Observers. Those hundreds of thousands of votes should not be allowed. Corrupt politics.,21082,"Washington, DC",2020-11-11 02:20:13
4,1326347841476890627,realDonaldTrump,A brave patriot. More &amp; more people are stepping forward to expose this Rigged Election! https://t.co/DfOVDQu2Qp,38528,"Washington, DC",2020-11-11 02:15:42
0,1326525851752656898,realDonaldTrump,"A guy named Al Schmidt, a Philadelphia Commissioner and so-called Republican (RINO), is being used big time by the Fake  News Media to explain how honest things were with respect to the Election in Philadelphia. He refuses to look at a mountain of corruption &amp; dishonesty. We win!",7310,"Washington, DC",2020-11-11 14:03:03
1,1326522116779487243,realDonaldTrump,"Richard Hopkins, Pennsylvania postal worker, recants ballot-tampering claim - Washington Times https://t.co/C7isLvQ9QU  Stays with the truth, his original story.",8104,"Washington, DC",2020-11-11 13:48:12
2,1326519025552265216,realDonaldTrump,"The Fake Pollsters at @ABC/@washingtonpost produced a possibly illegal suppression Poll just before the Election showing me down 17 points in Wisconsin when, in fact, on Election Day, the race was even - &amp; we are now preparing to win the state. Many such “deplorable” instances!",19984,"Washington, DC",2020-11-11 13:35:55
0,1326542017241837570,realDonaldTrump,https://t.co/SHY5Hz66eJ,3076,"Washington, DC",2020-11-11 15:07:17
